Date,Y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Unnamed: 66
2016-02-10,7.9379,8.128,539.986,690.057,76.3061,0.4934,50.4652,75.1048,44.954,33505.2,5.8,53314.6,50138.0,72448.6,74986.7,94652.4,722.965,2.6053,686.879,717.517,692.782,0.2571,0.0965,71.7963,0.285,70.5223,0.2776,0.3618,0.4754,0.4721,20.4,4.2,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.97,
2016-02-11,8.1274,8.1671,539.985,690.423,76.5026,0.492,50.77,74.982,44.9645,33505.7,5.8903,54780.8,51890.4,72447.5,73886.7,94487.2,724.611,2.6046,687.283,718.836,693.057,0.405,0.097,71.312,0.2887,69.9945,0.282,0.361,0.4786,0.4681,20.5,4.1,0.333,1187.0,4.8,10.6,3.6,0.49,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.15,
2016-02-12,8.3266,8.1868,539.981,692.087,76.6136,0.4848,50.9148,74.9783,44.965,33115.6,6.0318,54499.7,51469.6,73369.4,74392.1,94207.1,724.795,2.5995,688.971,718.897,694.528,0.3916,0.0966,70.4454,0.2922,69.4743,0.2835,0.3625,0.4833,0.474,20.5,4.1,0.333,1199.0,4.9,9.5,3.8,,,,,,,,,,,,55.43,,,212.0,4896.0,1.12,0.0,646.0,2630.0,87.0,608.0,33.08,0.96,4786.0,0.0%,0.0,602.76,
2016-02-13,8.3711,8.2234,539.982,693.652,76.9029,0.4829,51.3771,75.0176,44.9582,33194.6,5.8146,54117.4,50708.7,74596.8,75434.6,93068.9,725.252,2.6049,690.455,719.575,695.899,0.4065,0.0966,70.0332,0.2938,69.2488,0.284,0.363,0.4781,0.4764,20.4,4.2,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,602.35,
2016-02-14,8.2783,8.1921,539.974,692.004,76.692,0.4868,50.8047,75.0869,44.9631,33038.3,5.6987,53794.6,50434.1,73082.2,74516.9,94209.7,723.085,2.6023,688.913,717.558,695.134,0.2334,0.0961,70.6309,0.2955,69.373,0.2872,0.3636,0.4801,0.4752,20.3,4.3,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,602.99,
2016-02-15,8.237,8.1913,539.976,690.233,76.7959,0.4854,50.4941,75.0806,44.9746,33727.1,5.5138,52429.8,49488.7,74047.0,76616.0,95555.7,723.12,2.5979,686.886,717.627,693.393,0.1155,0.096,71.1462,0.2917,70.09,0.2835,0.3643,0.4824,0.4745,20.4,4.3,0.347,1204.0,5.0,10.5,3.1,,,,,,,,,,,71.77,55.65,,0.06,194.0,4807.0,1.12,0.0,600.0,2624.0,106.0,594.0,33.0,0.94,4814.0,0.0%,0.0,603.47,
2016-02-16,7.9406,8.1219,539.985,690.654,76.0979,0.4913,49.6792,74.9514,44.9604,33198.8,5.5224,54179.4,52168.5,71453.0,73679.7,95336.4,724.002,2.6048,687.595,718.002,693.807,0.4402,0.0972,70.9248,0.2945,69.5154,0.2885,0.3616,0.4849,0.4758,20.6,4.1,0.328,1156.0,4.8,9.9,3.2,0.48,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,603.14,
2016-02-17,7.9126,8.1082,539.98,691.05,75.7766,0.4858,50.93,75.0644,44.9885,33075.4,5.4828,52874.2,49414.7,73408.3,75433.1,95128.1,724.02,2.6016,687.83,718.516,694.271,0.2486,0.0967,70.8153,0.2931,69.6399,0.2866,0.3633,0.4849,0.4767,20.7,4.2,0.33,1167.0,4.4,9.6,2.2,,316.0,366.8,395.4,456.0,508.4,571.4,665.6,705.0,740.0,,55.43,,,212.0,4728.0,1.11,0.0,691.0,2593.0,77.0,629.0,33.05,0.94,4815.0,0.0%,0.0,602.74,
2016-02-18,7.9399,8.1429,539.974,691.044,76.0794,0.4862,51.1976,75.0355,44.9653,33029.1,5.5545,53052.2,49102.4,74066.4,75680.5,95088.8,723.916,2.6021,687.86,718.123,694.148,0.3487,0.0971,70.6878,0.2945,69.6807,0.2868,0.3646,0.4838,0.4753,20.6,4.6,0.355,1143.0,5.4,11.6,2.5,0.56,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,602.57,
2016-02-19,7.8352,8.1305,539.98,691.172,75.9193,0.4873,51.2575,75.001,44.9401,33024.9,5.4457,53442.9,49621.3,73420.3,74587.5,94567.4,723.997,2.6072,688.063,718.448,694.231,0.4516,0.0978,70.9444,0.2857,70.2589,0.2782,0.3668,0.4869,0.4805,20.8,4.1,0.325,1206.0,5.8,11.9,2.2,,,,,,,,,,,,55.38,,,229.0,4749.0,1.13,0.0,623.0,2661.0,56.0,591.0,33.09,0.96,4933.0,0.0%,0.0,602.57,
